gene_name	C1	C2	C3	M1	M2	M3	FatBodyHet_1	FatBodyHet_2	FatBodyHet_3	FatBodyMut_1	FatBodyMut_2	FatBodyMut_3
CG5213	0	0	0	0	0	0	0	0	0	0	0	0
CG44014	308	279	224	327	425	317	636	608	516	825	776	796
CG44013	34	46	24	14	47	40	0	0	0	0	0	0
CG31296	0	0	0	7	10	5	0	0	2	3	6	9
AOX1	3986	3985	4291	7977	10672	6708	4074	3527	4581	15330	27619	23721
AOX2	367	289	508	260	564	350	0	1	3	0	4	2
AOX3	726	679	727	757	1611	974	366	471	472	1513	1239	1575
AOX4	0	0	0	3	0	1	0	0	0	0	0	0
CG43335	0	0	0	0	0	0	0	0	0	0	0	0
CG43336	0	0	0	0	0	0	0	0	0	0	0	2
pxb	35	45	31	25	41	35	1	5	4	4	5	1
lncRNA:CR43849	0	0	0	0	0	0	0	0	0	0	0	0
CG31446	347	364	354	374	625	326	0	0	0	0	0	0
CG5399	1786	1760	1596	2693	3608	2264	0	0	0	0	2	1
lncRNA:CR45635	4	0	0	2	0	5	0	0	0	0	0	0
lncRNA:CR45636	0	0	0	0	0	0	0	0	0	0	0	0
CG5404	130	198	131	121	215	132	6	0	1	2	0	0
CG31294	0	0	0	0	0	0	0	0	0	0	0	0
CG34274	0	0	0	0	0	0	0	0	0	0	0	0
CG4520	0	0	0	0	0	0	0	0	0	0	0	0
CG12784	0	0	0	0	0	0	0	0	0	0	0	0
CG5623	0	0	0	0	0	0	0	0	0	0	0	0
asRNA:CR45206	0	0	2	0	5	1	0	0	0	0	0	0
Ttc26	6	1	2	1	5	7	0	0	0	0	0	0
CG45207	41	25	76	38	77	16	0	0	0	0	0	0
CG5614	0	0	0	0	0	0	0	0	0	0	0	0
CG9590	462	454	479	462	767	430	413	346	361	510	618	595
Uros2	2	0	1	1	0	0	1	2	2	0	0	0
c(3)G	27	34	29	34	68	34	18	27	25	61	35	25
Acyp2	103	97	143	164	193	138	63	66	75	121	132	145
nsl1	672	708	709	578	1256	892	674	637	563	678	826	825
CG9593	36	26	33	38	39	41	0	0	0	0	0	0
asRNA:CR45891	0	5	2	2	8	2	0	1	3	0	0	0
alpha-Man-IIb	124	175	142	106	222	136	4	4	3	8	2	4
lncRNA:CR45211	0	0	0	0	0	0	0	0	0	0	0	0
rec	21	21	16	21	34	23	0	2	3	18	0	3
CG4576	57	40	39	110	106	173	0	1	0	0	0	0
CG43318	0	0	0	0	0	0	0	0	0	0	0	0
CG43317	0	1	1	0	0	1	0	0	0	0	0	1
Arpc3A	321	367	303	424	626	352	195	149	138	231	180	241
ND-23	1934	1747	1765	2413	3172	2162	2053	2112	1688	2149	2482	2955
mir-4911	0	0	0	0	0	0	0	0	0	0	0	0
spn-E	27	25	21	24	56	35	14	43	77	133	15	25
Pbp45	26	29	34	39	58	32	30	23	23	12	18	20
cv-d	1257	1502	1324	1149	2412	1579	5564	5217	5976	8448	7167	7924
CG4546	0	2	0	1	4	0	0	0	0	0	0	0
Hmt-1	803	759	783	815	1379	908	665	647	649	841	970	1058
CG31183	58	62	85	84	159	63	0	0	0	3	3	3
CG9632	0	1	0	0	1	1	0	0	0	0	0	0
CG14877	11	10	10	6	25	7	1	1	1	0	0	2
glob1	2361	3016	2480	4907	5331	3742	8722	9583	8787	13643	31978	24551
CR31292	0	0	0	0	0	0	0	0	0	0	0	0
EndoU	198	185	192	207	296	184	9	8	11	6	18	11
CG45105	14	13	8	19	21	25	0	0	0	1	0	0
Fbxl7	56	100	85	75	122	82	0	0	0	0	0	0
lncRNA:CR46028	0	0	0	0	0	0	0	0	0	0	0	0
CG34276	196	282	216	253	482	222	9	5	2	0	11	87
CG5478	0	0	0	0	0	0	0	0	0	0	0	0
blp	324	338	297	371	629	430	488	601	343	492	517	656
Sap47	863	1134	838	690	1505	1028	224	268	301	281	293	287
CG31088	0	0	0	0	0	0	0	0	0	0	0	0
CG46383	0	0	0	0	0	0	0	0	0	0	0	0
CG4287	379	341	371	362	626	416	396	310	294	293	386	435
CG5516	171	184	163	170	305	168	156	150	119	163	242	206
CG32856	72	60	76	71	127	71	67	51	62	74	47	74
Rbf2	54	46	36	41	78	42	13	19	26	20	26	20
mor	863	878	831	687	1288	867	549	498	544	493	510	540
Hel89B	618	697	605	488	1175	744	481	498	553	648	585	632
srp	484	748	424	424	832	507	1655	1583	1572	1910	1472	1918
lncRNA:CR44133	22	18	15	18	35	24	29	27	39	61	83	62
lncRNA:CR42839	80	69	60	55	75	46	0	0	0	0	0	0
GATAe	346	367	295	376	608	340	2	2	0	0	0	0
pnr	16	23	39	21	27	35	1	3	3	0	0	7
CG10264	81	109	53	0	1	1	0	0	0	0	0	0
CG10407	25	20	18	25	26	25	14	16	11	14	6	7
IKKbeta	207	234	210	164	360	254	281	193	231	211	224	258
lncRNA:CR45212	4	4	1	2	7	1	0	2	0	1	0	1
CG5013	55	74	67	88	119	85	52	72	50	79	68	84
msps	612	752	722	478	1215	839	221	189	379	374	262	307
CG10185	0	2	0	1	2	4	0	0	0	0	0	0
Mhcl	1553	1517	1525	1083	2530	1845	129	101	151	128	144	116
CG32855	141	195	125	3	3	1	0	1	1	0	0	0
sxe2	14	8	7	30	39	14	0	0	0	0	0	0
Akt1	870	842	907	583	1343	848	552	487	615	609	602	646
Sb	33	57	47	12	32	18	0	1	0	0	0	0
CG5903	2643	2714	2435	3327	5184	3444	3234	3258	2313	3299	4465	4873
CG5916	157	153	170	142	276	182	98	116	95	162	184	259
Fer2	4	18	9	9	9	16	0	1	0	0	0	0
CG6006	260	248	266	182	374	323	79	19	269	31	2	1
asRNA:CR43472	0	0	0	0	0	0	0	0	0	0	0	0
CG8925	70	87	63	77	131	71	0	0	0	0	0	0
CG8927	275	236	156	77	130	70	0	0	2	0	0	0
Bin1	210	261	230	399	620	396	277	223	289	1801	3047	981
sra	232	215	242	261	483	353	111	113	97	278	315	258
CG6126	1075	1054	1143	1164	1964	1374	2093	1840	1710	1499	1685	1909
CG31287	0	0	2	2	0	0	4	1	2	4	2	7
mtSSB	412	522	450	489	764	560	790	931	582	598	915	1004
lncRNA:CR45639	0	1	1	0	0	0	0	0	0	0	0	0
lncRNA:CR45640	0	0	0	2	3	1	0	0	0	0	0	0
lncRNA:CR45638	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45637	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45642	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45641	0	1	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45643	0	0	0	0	0	0	0	0	0	0	0	0
tara	182	189	188	163	317	229	63	49	84	50	41	44
bor	1918	2097	1830	2505	3965	2954	4758	5353	3468	8529	12818	14362
asun	83	108	92	77	166	112	71	72	49	64	53	92
Mst89B	0	0	0	1	2	0	0	0	0	0	0	1
Mat89Ba	431	493	393	348	704	597	832	780	819	535	666	777
gish	1474	1475	1427	1024	2285	1410	924	875	1037	966	979	1180
Zip89B	192	198	207	217	295	222	0	1	5	106	12	65
Sulf1	175	164	130	162	307	196	222	169	109	245	254	317
tRNA:Phe-GAA-1-8	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Val-AAC-1-1	0	0	0	0	0	0	0	0	0	0	0	0
CG44044	0	0	0	0	0	0	0	0	0	0	0	0
CG6901	94	109	130	198	323	164	0	0	0	0	3	0
CG17929	0	0	0	0	5	0	0	0	0	0	0	0
CG17930	172	160	180	264	347	188	0	0	0	0	0	0
SF2	1240	1325	1291	1223	2048	1348	1189	1100	1077	1069	1281	1343
pad	29	43	47	30	51	31	28	27	25	26	6	17
CG14879	133	166	121	142	259	202	40	68	83	292	205	339
Manf	2440	2720	2673	2534	4066	2357	2713	2513	2444	2276	2549	2717
CG10311	346	313	351	389	679	483	146	172	200	824	896	1282
CG17931	230	275	269	245	433	238	164	162	146	162	141	173
CG42446	0	0	0	0	0	0	0	0	0	0	0	0
CG14880	53	84	29	20	43	27	0	0	0	0	0	1
CG10317	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45193	0	0	0	0	0	0	0	0	0	0	0	0
ss	8	5	3	8	9	7	0	0	0	0	0	0
lncRNA:CR45630	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Thr-AGT-1-3	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45631	0	0	0	0	0	0	0	0	0	0	0	0
CG31279	3	2	5	0	6	2	4	3	6	5	5	4
tRNA:Thr-AGT-1-4	0	0	0	0	0	0	0	0	0	0	0	0
CG17565	314	281	293	383	588	389	239	252	232	275	315	362
CG14881	102	91	106	106	174	90	103	114	92	115	139	130
mRpS33	487	431	436	551	891	527	712	676	526	648	701	857
ema	460	417	414	369	771	484	352	348	366	442	420	531
CG14894	488	540	471	442	794	505	669	618	566	467	722	747
CG14882	109	151	146	150	241	177	381	331	387	259	259	284
Pak3	730	658	696	503	1125	718	250	190	244	310	244	321
CG10405	106	143	131	274	382	233	0	2	0	1	0	0
CG14883	283	250	241	257	407	282	29	52	47	67	67	84
CG42232	345	412	414	232	646	423	126	62	240	176	176	124
CSN5	466	478	478	582	833	555	502	462	497	422	493	607
Gyc89Da	6	5	5	16	12	4	0	0	0	0	0	0
asRNA:CR46029	2	6	1	2	6	3	0	1	0	0	3	6
Gyc89Db	15	26	16	17	37	21	0	0	0	0	1	0
Dhfr	228	196	221	188	267	181	359	268	278	239	310	290
Sdhaf3	150	184	190	186	294	195	168	191	99	124	268	273
Der-2	566	538	541	634	973	571	505	481	404	501	552	571
Cad89D	16	90	11	11	12	7	0	0	0	0	0	0
Gr89a	0	1	1	2	2	0	0	0	0	0	0	0
Decay	489	456	459	563	823	474	0	0	1	0	0	0
CG42342	224	190	203	130	341	268	1	4	40	36	3	16
lncRNA:CR46030	0	0	0	0	0	0	0	0	0	0	0	0
CG14891	0	0	0	0	0	0	0	0	0	0	0	0
CG14903	103	121	139	134	216	173	115	112	107	118	132	127
Scp2	2563	3255	2533	2126	3503	1921	13	13	1	8	0	9
CG14892	3	3	3	1	0	0	0	0	0	0	0	0
CG10345	8	8	6	17	18	16	0	0	0	0	0	0
NPF	38	40	13	45	46	30	0	0	0	0	0	0
CG12783	0	0	0	0	0	0	0	0	0	0	0	0
CG10340	883	810	845	1001	1517	974	1254	1437	939	1176	1287	1620
CG17562	20	15	19	24	29	25	0	0	0	0	0	0
CG17560	117	92	102	115	199	135	0	0	0	1	0	0
mir-2494	0	0	0	0	0	0	0	0	0	0	0	0
CG14893	0	0	1	0	1	8	0	0	0	0	0	0
CG14905	0	1	1	1	1	0	0	1	4	0	0	0
Fas1	669	815	726	648	1275	810	26	38	103	177	24	30
nonA-l	72	71	99	89	184	112	0	5	86	6	0	0
Arl6IP1	184	226	208	224	334	252	73	86	127	70	70	75
CG10324	104	85	82	69	166	88	62	72	58	63	71	87
CCT3	2738	2865	2809	2978	4813	3756	2357	2504	1995	1791	2439	2722
CG14906	36	43	52	63	90	58	29	35	31	22	40	54
CG14907	135	119	121	201	243	161	54	78	72	49	149	101
modSP	222	238	215	257	394	294	657	630	562	509	525	576
Ubx	161	133	142	117	215	150	102	96	84	61	54	105
lncRNA:bxd	2	2	1	1	3	1	2	0	0	0	0	0
CG31275	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44945	0	0	0	0	0	0	0	0	0	0	0	0
Glut3	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45750	0	0	1	0	0	0	0	0	0	0	0	0
lncRNA:TS16	0	0	0	0	0	0	0	0	0	0	0	0
abd-A	455	471	505	285	687	520	241	429	356	139	328	288
lncRNA:iab8	25	21	21	20	53	16	7	11	5	2	11	3
lncRNA:iab4	10	7	1	5	5	3	6	0	2	4	0	0
mir-iab-4	0	0	0	0	0	0	0	0	0	0	0	0
mir-iab-8	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR43617	1	0	0	2	0	0	0	1	0	0	0	0
Abd-B	195	190	194	143	351	233	160	239	81	48	192	181
lncRNA:CR46267	0	0	2	0	0	0	0	0	0	0	0	2
VhaM9.7-d	0	1	0	0	1	1	0	0	0	0	0	0
Actn3	0	2	1	0	0	0	0	1	0	0	0	0
AhcyL2	559	595	653	915	1259	944	192	156	202	861	899	1032
CG18622	63	66	72	91	150	93	33	48	14	18	11	6
lncRNA:CR45592	0	0	0	0	0	0	0	0	0	0	0	0
MESK4	0	0	2	0	0	0	0	0	1	0	0	0
CG3678	248	281	224	224	418	269	321	247	284	356	391	393
lncRNA:CR45221	1	2	1	0	3	1	0	0	1	0	0	0
asRNA:CR45213	0	0	0	0	0	0	0	0	0	0	0	0
CG31274	0	0	0	1	1	0	0	0	0	0	0	0
CG17556	411	414	412	509	851	541	412	370	473	486	653	781
CG3534	990	1109	1140	615	997	677	3812	3445	2838	1244	1294	1336
Sf3a1	419	407	377	345	691	415	424	431	403	372	423	518
Irc	503	599	551	619	962	645	2218	1764	2134	3127	2753	2971
CG8907	968	874	870	1207	1786	1067	3	5	2	7	11	5
Pxd	12	25	8	2	45	27	0	0	0	0	0	0
AdSL	716	707	648	734	1214	868	1283	1464	1088	876	1119	1377
CG5225	3716	1914	4704	699	476	521	0	0	12	0	0	0
CG31268	505	377	844	180	288	186	0	1	3	0	0	1
CG4009	0	0	0	0	0	0	0	0	2	0	0	0
CG18213	64	86	92	99	169	91	56	62	87	37	35	65
CG5220	328	418	355	412	562	419	466	521	476	317	401	496
CG3995	65	90	92	85	157	111	68	63	69	47	43	79
Patr-1	544	679	605	359	934	612	517	468	505	413	463	445
Dad	272	269	267	231	512	336	248	180	232	221	181	225
Ns1	933	948	791	876	1557	1252	1654	1585	1406	1140	1445	1743
mRpS11	607	661	614	702	1070	779	806	896	586	863	1024	1162
Keap1	182	180	161	142	307	148	203	185	274	246	155	168
kuk	181	215	184	185	336	177	1	19	49	55	8	31
GckIII	517	569	532	479	862	577	367	351	352	276	337	410
cal1	76	113	95	72	178	114	53	29	72	48	42	34
cher	6860	6036	6497	3492	7671	5202	53	71	125	298	273	414
CG34278	7	3	1	271	422	269	0	0	0	0	0	112
CG42779	386	320	289	390	593	365	18	7	1	6	3	117
CG45079	0	1	0	3	0	1	0	0	0	0	0	0
CG17477	49	38	40	43	47	31	0	0	0	0	0	0
asRNA:CR44238	0	0	0	0	0	0	0	0	0	0	0	0
CG31269	248	169	196	105	223	111	0	0	0	0	0	0
CG31265	494	549	560	691	995	586	0	0	0	0	0	0
CG17475	607	666	676	784	1288	770	0	0	0	0	0	0
CG4053	204	233	269	215	338	220	0	0	0	0	0	0
CG31266	791	770	760	882	1334	936	0	0	1	0	0	0
CG31267	348	398	343	377	643	365	0	0	0	0	0	0
CG5246	197	160	187	399	348	253	0	0	0	6	5	9
CG5255	64	81	56	49	106	38	0	0	2	0	0	0
CG5265	0	0	0	0	0	0	0	0	0	0	0	0
TwdlW	55	135	9	6	3	0	0	0	1	0	0	0
m-cup	273	231	256	264	550	291	236	269	212	765	699	797
Det	33	35	26	23	57	43	9	22	18	26	17	17
CG5285	10	15	18	23	16	15	10	16	9	14	4	10
CG5292	126	128	146	109	228	165	110	87	93	83	100	65
Mur89F	1959	1687	3196	299	476	190	0	0	16	2	0	2
CG31262	283	218	364	307	608	383	0	0	1	0	0	0
beat-IIb	18	19	21	26	29	34	0	0	0	0	0	0
CG44259	0	0	0	0	0	0	0	0	0	0	0	0
CG44257	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44258	0	0	0	0	0	0	0	0	0	0	0	0
CG31418	0	0	0	0	0	0	0	0	0	0	0	0
CG31419	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR43489	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR43490	0	0	0	0	0	0	0	0	0	0	0	0
beat-IIa	41	55	35	40	71	40	0	0	0	0	0	0
lncRNA:CR44256	0	0	0	0	0	0	0	0	0	0	0	0
Brf	258	261	264	237	489	265	318	281	266	231	256	260
lute	508	454	519	441	880	567	197	165	193	200	209	212
lncRNA:CR43196	1	0	2	3	0	4	1	0	0	0	0	0
asRNA:CR44160	0	0	0	0	0	0	0	0	0	0	0	0
sds22	512	526	520	582	943	623	432	388	480	396	456	478
CREG	201	174	214	272	358	214	363	322	468	192	288	292
Sur-8	701	694	610	605	1250	781	150	147	230	186	173	226
CG34279	0	0	0	0	0	0	0	0	0	0	0	0
CG34280	1	0	0	0	0	1	0	0	0	0	0	0
CG42823	55	137	103	163	210	92	2	2	0	0	1	24
CG42824	0	0	0	0	1	1	0	0	0	0	0	0
CG42798	7	8	7	7	9	5	0	0	0	0	0	2
CG17283	10	32	33	22	133	26	3	0	0	0	3	14
CG5860	0	0	0	0	0	0	0	0	0	0	0	0
CG5863	37	50	33	28	50	29	0	0	0	0	0	3
CG42821	176	179	278	175	279	152	3	0	2	0	0	1
CG42822	375	439	428	408	686	423	8	1	5	0	2	55
CG5866	5	20	7	15	19	19	0	0	0	0	0	0
CG33333	0	0	0	0	0	0	0	0	0	0	0	0
asRNA:CR46034	0	0	0	0	0	0	0	0	0	0	0	0
CG42834	0	0	0	0	2	0	0	0	0	0	0	0
CG42835	0	0	0	0	0	0	0	0	0	0	0	0
CG14332	0	0	0	0	0	0	0	0	0	0	0	0
cysu	407	562	405	181	262	141	0	2	17	0	5	0
lncRNA:CR46052	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR46053	0	0	0	0	0	0	0	0	0	0	0	0
CG44090	0	0	0	0	0	0	0	0	0	0	0	0
CG14331	0	2	2	6	2	1	0	0	0	0	0	0
Eh	5	6	7	12	18	21	0	0	0	0	0	0
CG14330	0	0	0	0	0	0	0	0	0	0	0	0
Dscam3	44	61	38	18	89	42	0	0	0	0	0	0
lncRNA:CR44349	0	0	0	0	0	0	0	0	0	0	0	0
CG5823	377	348	408	427	713	406	200	203	235	234	276	214
P5cr-2	226	227	204	339	431	224	156	156	125	64	97	100
l(3)07882	372	471	376	334	612	524	567	597	619	617	506	649
SF1	680	800	781	689	1326	943	941	979	715	519	667	695
Prx3	1695	1792	1686	2211	3159	2053	2515	2709	1989	2857	3018	3554
Hmx	2	6	6	8	6	4	0	0	0	0	0	0
CG7587	0	0	0	0	0	0	0	0	0	0	0	0
Sgs5	0	0	0	0	0	0	0	0	0	0	0	0
CG7606	0	0	0	0	0	0	0	0	0	0	0	0
sll	480	498	446	596	743	487	425	429	425	397	370	384
CG14329	8	13	14	19	16	7	0	0	0	0	0	0
Edg91	46	33	42	45	142	101	0	0	0	0	1	0
CG34281	0	0	1	2	3	1	0	0	0	0	0	0
CG14327	2	2	2	1	1	2	0	0	0	0	0	0
tRNA:Val-CAC-1-1	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Pro-TGG-1-1	0	0	0	0	0	0	0	0	0	0	0	0
CG14324	1	1	1	2	5	2	0	0	0	0	0	0
CG14326	0	1	1	0	1	3	0	0	0	0	0	0
tRNA:Ala-AGC-2-2	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Pro-TGG-1-2	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Ala-AGC-2-3	0	0	0	0	0	0	0	0	0	0	0	0
CG14323	0	2	0	0	0	0	0	0	0	0	0	0
tRNA:Ala-AGC-2-4	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Thr-AGT-1-5	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Thr-AGT-1-6	0	0	0	0	0	0	0	0	0	0	0	0
AttD	21	2	37	0	7	0	0	0	0	0	3	0
CG14325	0	0	0	0	0	0	0	0	1	0	0	0
tRNA:Val-AAC-1-2	0	0	0	0	0	0	0	0	0	0	0	0
CG43175	50	69	33	155	171	131	130	104	117	2172	3719	4017
tRNA:Ala-AGC-2-5	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Pro-TGG-1-3	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45222	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Ala-AGC-2-6	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Pro-TGG-1-4	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Ala-AGC-2-7	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Ala-AGC-2-8	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45223	11	8	6	2	13	10	0	0	0	0	0	0
CG14322	244	266	237	147	398	325	182	152	208	164	209	188
tRNA:Ala-AGC-1-1	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Ala-AGC-2-9	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45045	0	1	0	1	1	0	0	0	0	0	0	0
tRNA:Ala-AGC-2-10	0	0	0	1	0	0	0	0	0	0	0	0
CG7523	254	205	226	309	396	255	82	95	111	120	133	136
Mps1	9	26	16	16	24	12	3	1	8	7	6	7
alt	3804	4642	4282	2959	5730	3497	5100	4520	6020	2509	3131	2648
CG7655	147	178	159	185	307	192	113	111	97	132	153	164
CG31251	60	39	30	46	93	59	33	45	20	49	32	37
CG31360	86	93	101	116	160	90	82	57	79	109	123	110
CG31249	254	236	213	250	431	270	144	180	167	123	190	225
osa	1176	1172	1146	702	2008	1273	847	701	1001	692	655	727
lncRNA:CR46036	1	3	2	1	7	1	0	1	3	9	0	2
lncRNA:CR46035	3	0	5	5	4	2	0	0	0	0	0	0
Pxt	4	1	3	5	0	0	0	2	6	11	0	3
Atg8b	1	0	0	5	1	1	0	0	0	0	0	0
Lgr1	115	126	158	183	330	209	0	1	0	0	0	1
CG14321	11	14	15	18	17	13	0	0	2	0	0	0
TyrRII	10	15	10	11	33	11	0	0	0	0	0	0
TyrR	45	53	69	48	83	64	0	0	0	0	0	0
CG43102	251	274	254	157	425	304	1	0	3	0	2	2
pasi1	128	134	137	170	225	153	13	7	19	8	0	9
CG7379	239	257	243	253	430	281	218	199	192	187	221	236
CG17803	25	39	45	34	63	44	4	9	7	3	4	8
CG17806	50	68	54	74	106	67	30	29	38	61	58	63
CG17802	40	23	18	19	42	31	29	18	31	28	51	31
CG17801	1	0	3	2	2	0	0	1	4	3	0	0
Odj	143	112	148	151	284	162	129	120	134	104	195	165
Alg1	448	528	447	558	783	527	719	781	675	414	540	525
tinc	184	290	210	118	316	154	0	0	5	2	2	0
Rim	73	160	91	68	171	148	0	0	2	2	0	16
CG12347	0	0	0	0	0	0	0	0	0	0	0	0
CG43445	0	0	0	0	0	0	0	0	0	0	0	0
cpo	429	393	351	192	552	348	1	1	15	4	1	5
DNaseII	1068	1229	1079	982	1421	991	4453	4383	5794	2099	2181	2079
CG7785	65	61	50	50	97	49	11	19	19	13	18	40
CG7794	0	1	2	1	3	0	1	0	4	0	2	0
htl	105	119	78	78	150	104	50	114	137	56	38	59
CG14317	0	0	0	0	0	0	0	0	0	0	0	0
sr	89	132	91	60	127	142	0	0	1	0	0	0
tRNA:Gly-TCC-1-3	0	0	0	0	0	0	0	0	0	0	0	0
tRNA:Gly-TCC-1-4	0	0	0	0	0	0	0	0	0	0	0	0
CG14316	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR45103	0	0	0	0	0	0	0	0	0	0	0	0
asRNA:CR45104	0	0	0	0	0	0	0	0	0	0	0	0
CG14315	0	0	0	0	0	0	0	0	0	0	0	0
CG7218	292	293	325	328	538	342	276	279	265	365	514	592
Cbp20	172	225	227	222	403	255	174	205	153	156	183	245
Prx5	0	0	0	0	0	0	0	0	0	0	0	0
CG7215	0	0	0	0	0	0	0	0	0	0	0	0
wrd	840	974	844	753	1475	964	588	591	655	687	497	714
cdm	478	477	424	412	781	536	541	519	474	480	534	656
CG7208	2	6	6	2	3	6	1	2	1	3	0	1
Arp5	155	141	155	158	243	158	81	108	95	84	97	118
CG12321	359	356	352	397	617	408	322	333	251	314	466	604
MED17	163	171	171	197	358	190	136	166	158	152	216	183
CG14313	2	0	0	0	3	0	0	1	1	0	2	0
Ssdp	622	702	640	437	1127	697	211	140	224	197	226	215
CG7985	15	19	22	20	54	42	2	7	17	3	3	6
CG44158	0	0	0	0	0	0	0	0	0	0	0	0
CG14314	18	26	34	27	47	32	0	0	37	0	0	0
CG7183	77	67	53	59	107	72	38	41	40	37	41	46
CG7988	45	39	56	44	52	33	27	41	36	23	70	54
mTerf5	236	256	280	261	422	292	288	296	254	285	345	387
Non3	466	505	411	529	765	596	678	818	563	562	669	724
CG7168	112	134	109	140	238	135	136	147	144	121	186	165
Mdh2	9229	9067	9206	10186	15189	9895	11444	12633	9177	6928	7671	8247
repo	37	55	34	15	60	48	0	0	0	3	0	0
CG7156	70	49	51	49	95	73	30	28	42	19	33	35
14-3-3epsilon	9550	9947	9563	9237	16620	11257	6355	6523	5799	6017	7111	7911
CG12320	49	50	50	76	120	80	31	61	47	69	44	63
CG18598	3	3	1	3	2	0	0	0	0	0	0	0
Rpb4	0	0	0	0	0	0	0	0	0	0	0	0
Ada2a	69	61	80	52	166	77	35	59	57	56	79	73
Tgs1	0	0	0	0	0	0	0	0	0	0	0	0
moi	0	0	0	0	0	0	0	0	0	0	0	0
CG18599	0	1	0	0	1	0	0	0	0	0	0	0
Vps39	176	159	167	149	309	193	118	99	101	100	113	170
eIF1A	4579	4924	4841	4276	7779	5180	5256	5263	4566	5249	5452	6731
CG7142	84	61	54	473	849	261	22	25	14	3083	4005	7212
CG14312	10	12	8	13	12	16	0	2	0	7	0	0
CG8064	301	299	307	327	511	449	570	534	547	338	548	577
CG7131	10	4	7	6	7	5	3	3	3	4	0	2
l(3)05822	251	230	279	264	464	299	69	90	77	145	169	150
Dlc90F	725	742	783	782	1193	811	357	407	358	435	567	644
CG18600	664	669	643	589	952	748	1019	1030	925	819	1161	1107
CG7126	0	1	3	0	2	2	0	0	3	0	0	0
PKD	750	847	999	673	1159	673	860	677	902	373	683	519
naz	7	8	7	11	15	5	0	1	0	0	0	0
CG15803	48	58	45	35	96	68	0	0	0	0	0	0
lncRNA:CR45634	0	0	0	0	0	0	0	0	0	0	0	0
hmw	4	2	0	1	0	4	0	0	0	0	0	0
WRNexo	188	186	238	197	313	239	212	239	145	87	134	180
Nup43	158	128	154	176	270	195	154	169	131	153	243	237
gl	0	3	2	0	0	0	0	0	0	0	0	0
lncRNA:CR14310	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR44946	0	0	0	0	0	0	0	0	0	0	0	0
CG7675	1447	1476	1296	1358	2206	1563	3	3	11	12	17	12
CG14309	1	0	0	0	0	0	0	0	1	0	0	0
cona	9	2	8	15	19	8	0	6	33	12	0	0
Vha100-4	777	795	877	906	1570	816	1	1	1	1	0	2
Vha100-2	5516	5122	5247	5544	10041	6579	674	901	830	783	900	1163
Vti1b	94	102	92	99	173	89	110	90	84	79	118	147
CG12333	103	104	100	90	192	117	53	68	78	26	94	85
koko	122	138	125	127	194	150	53	61	77	51	58	49
CG7685	30	47	50	49	94	49	27	33	31	34	55	38
CG31122	154	196	153	147	332	196	15	19	22	43	36	22
CG10864	18	11	19	4	28	23	1	2	1	0	0	0
fru	628	628	611	421	1084	655	520	586	583	445	300	439
CG7691	0	0	0	0	0	0	0	0	0	0	0	0
hemo	0	0	0	0	0	0	0	0	0	0	0	0
CG43210	0	0	0	0	0	0	0	0	0	0	0	0
CG7694	121	159	162	169	328	190	114	135	97	192	185	203
fray	803	864	821	690	1415	931	316	318	388	358	356	425
qin	42	20	27	24	72	30	6	7	85	103	5	8
CG14304	226	217	269	90	143	114	0	0	0	0	0	0
CG14305	0	0	0	0	0	0	0	0	0	0	0	0
CG7695	10	4	3	5	2	7	0	0	0	0	0	0
tRNA:Pro-TGG-1-5	0	0	0	0	0	0	0	0	0	0	0	0
CG14301	13	26	22	26	29	29	0	0	0	0	0	0
CG31224	448	460	444	311	808	568	253	207	297	243	238	293
